C3mCall,r,date,time,address,X,Y
23,Code3Med,2011-01-01,06:42:24,900SEBRIDGEWAY                                        AVECORVALLIS      ,7480650.543,317400.1182
24,Code3Med,2011-01-01,06:48:12,5100NEELLIOTT                                          CIRcorvallis,7480732.004,338713.4928
25,Code3Med,2011-01-01,06:49:47,2700SW3rdSTCorvallis,7503733.774,299770.5015
26,Code3Med,2011-01-01,07:37:57,8000NEBARBERRY                                         DRADAIR          ,7478872.799,316743.8027
27,Code3Med,2011-01-01,07:40:36,3600NWSAMARITAN                                        DRCORVALLIS      ,7504051.356,361562.858
28,Code3Med,2011-01-01,07:45:03,600NWJacksonAVECorvallis,7486543.811,343624.7834
29,Code3Med,2011-01-01,07:57:26,500SWMonroeAVECorvallis,7506985.302,348840.3076
30,Code3Med,2011-01-01,09:52:52,3600NWSAMARITAN                                        DRCORVALLIS      ,7512391.111,349837.4736
31,Code3Med,2011-01-01,10:28:06,0NW6thSTCorvallis,7482038.33,371954.9021
32,Code3Med,2011-01-01,11:11:54,4700SWHollyHockCIRCorvallis,7511216.792,347044.3227
33,Code3Med,2011-01-01,12:09:39,29200HIGHWAY 34                                       HWYCorvallis,7498406.282,345037.2017
34,Code3Med,2011-01-01,12:22:06,3800NWLINCOLN                                          AVECORVALLIS      ,7473694.051,309446.1578
35,Code3Med,2011-01-01,12:42:40,2900NWROOSEVELT                                        DRCORVALLIS      ,7482359.314,373963.0798
36,Code3Med,2011-01-01,12:47:15,300NW9TH                                              STCORVALLIS      ,7494333.241,321494.5079
37,Code3Med,2011-01-01,12:59:10,1700NW13TH                                             STCORVALLIS      ,7507594.307,341478.7691
38,Code3Med,2011-01-01,13:30:29,15thSW WashingtonWAYCORVALLIS      ,7489482.036,322082.0046
39,Code3Med,2011-01-01,13:42:54,6100NEEBONY                                            LNADAIR          ,7495962.322,321154.2255
40,Code3Med,2011-01-01,13:56:33,500SW3rdSTCorvallis,7507731.255,361679.9531
41,Code3Med,2011-01-01,14:26:09,800NW23RD                                             STCORVALLIS      ,7495894.917,319217.8173
42,Code3Med,2011-01-01,14:41:04,29900Hwy 34HWYCorvallis,7482950.044,336988.605
43,Code3Med,2011-01-01,15:06:17,0FAYETTEVILLE                                     RDHalsey,7513096.782,313161.3442
44,Code3Med,2011-01-01,15:31:18,3600NWSAMARITAN                                        DRCORVALLIS      ,7476780.371,328929.331
45,Code3Med,2011-01-01,15:35:55,1500SWASTCorvallis,7488120.669,308658.4943
46,Code3Med,2011-01-01,15:53:03,3600NWSAMARITAN                                        DRCORVALLIS      ,7509523.365,354090.2028
47,Code3Med,2011-01-01,16:02:37,5900SWQUIET CREEK                                      DRCORVALLIS      ,7505790.775,346428.1939
48,Code3Med,2011-01-01,16:20:26,3700NWSAMARITAN                                        DRCORVALLIS      ,7488041.769,350928.8944
49,Code3Med,2011-01-01,16:35:20,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7502345.187,347585.1509
50,Code3Med,2011-01-01,17:08:08,27400STOW PIT                                         RDMonroe,7483809.429,350875.9993
51,Code3Med,2011-01-01,18:31:08,600SWMADISON                                          AVECORVALLIS      ,7493450.052,329722.3936
52,Code3Med,2011-01-01,18:35:19,400SW26TH                                             STOSU            ,7501012.088,319960.2205
53,Code3Med,2011-01-01,19:31:57,0NW9TH                                              AVECORVALLIS      ,7498830.496,343180.375
54,Code3Med,2011-01-01,19:51:22,800SWC                                                AVECORVALLIS      ,7482694.913,322495.7584
55,Code3Med,2011-01-01,19:59:25,3600NWSAMARITAN                                        DRCORVALLIS      ,7497107.761,361259.4557
56,Code3Med,2011-01-01,19:59:56,2200NWVAN BUREN                                        AVECORVALLIS      ,7487291.602,350884.2579
57,Code3Med,2011-01-01,20:02:41,2500SWCAMPUS                                           WAYOSU            ,7524044.631,330979.7375
58,Code3Med,2011-01-01,20:35:27,1700NWDIVISION                                         STCORVALLIS      ,7499568.438,352336.3039
59,Code3Med,2011-01-01,20:43:29,28300IRISH BEND                                       RDMONROE         ,7490012.917,336624.6091
60,Code3Med,2011-01-01,21:09:31,1700NWDIVISION                                         STCORVALLIS      ,7490848.785,332480.5753
61,Code3Med,2011-01-01,21:30:20,2900NW29TH                                             STCORVALLIS      ,7482296.32,316934.7765
62,Code3Med,2011-01-01,22:57:58,5500NWOAK CREEK                                        DRCorvallis,7493201.682,335954.3373
63,Code3Med,2011-01-01,23:08:52,1700MAPLE                                            STPHILOMATH      ,7501915.259,338070.4189
64,Code3Med,2011-01-01,23:34:37,2200NWMULKEY                                           AVECORVALLIS      ,7474804.012,334734.3588
65,Code3Med,2011-01-01,23:54:07,700NW5TH                                              STCORVALLIS      ,7488573.281,338467.2849
66,Code3Med,2011-01-02,00:15:39,100NW14TH                                             STCORVALLIS      ,7479770.034,337042.6385
67,Code3Med,2011-01-02,00:39:33,100NW25TH                                             STCORVALLIS      ,7500531.469,342553.5967
68,Code3Med,2011-01-02,01:00:01,3000NWGREENBRIAR                                       PLCORVALLIS      ,7510849.111,307026.5051
69,Code3Med,2011-01-02,01:48:25,22900HIGHWAY 34                                       HWYPHILOMATH      ,7480589.141,325920.6852
70,Code3Med,2011-01-02,02:01:27,3700NWSAMARITAN                                        DRCORVALLIS      ,7480911.213,322912.8781
71,Code3Med,2011-01-02,02:09:23,2500SWPICKFORD                                         STCORVALLIS      ,7482954.812,306749.5129
72,Code3Med,2011-01-02,02:19:26,26700NWSULPHUR SPRINGS                                  RDCorvallis,7497596.726,351997.3855
73,Code3Med,2011-01-02,02:33:40,28000BellfountainRDMonroe,7473611.029,360743.4109
74,Code3Med,2011-01-02,03:27:11,30100BEAVER CREEK                                     RDCorvallis,7518147.159,341006.6933
75,Code3Med,2011-01-02,03:34:00,5600SWWEST HILLS                                       RDCORVALLIS      ,7488652.276,327175.1306
76,Code3Med,2011-01-02,03:50:58,3600NWSAMARITAN                                        DRCORVALLIS      ,7490987.622,345143.9536
77,Code3Med,2011-01-02,03:58:27,1000NWHayesAVECorvallis,7485763.887,331362.6381
78,Code3Med,2011-01-02,04:27:23,1400NWDIXON                                            STCORVALLIS      ,7480480.463,328447.2596
79,Code3Med,2011-01-02,04:32:42,3300NWSILKTASSEL                                       DRCORVALLIS      ,7518016.539,333510.5668
80,Code3Med,2011-01-02,05:47:23,400SWMADISON                                          AVECORVALLIS      ,7495749.263,313646.5055
81,Code3Med,2011-01-02,06:28:04,200NECONIFER                                          BLVDCORVALLIS      ,7500270.884,349973.9254
82,Code3Med,2011-01-02,07:08:07,24500OLD PEAK                                         RDMonroe,7490259.81,345213.414
83,Code3Med,2011-01-02,07:43:43,0NW4TH                                              AVECORVALLIS      ,7477600.111,352029.9466
84,Code3Med,2011-01-02,07:44:19,0SWWashingtonAVECORVALLIS      ,7488963.622,328325.3366
85,Code3Med,2011-01-02,07:49:45,3700NWSAMARITAN                                        DRCORVALLIS      ,7487041.767,345557.9929
86,Code3Med,2011-01-02,08:39:26,300SW8thSTCorvallis,7472650.913,377201.6817
87,Code3Med,2011-01-02,08:49:36,3600NWSAMARITAN                                        DRCORVALLIS      ,7494803.887,325094.1968
88,Code3Med,2011-01-02,08:53:46,1300NWKAINUI                                           DRCorvallis,7515316.872,344527.5642
89,MVA,2011-01-02,09:30:49,100NW21ST                                             STCORVALLIS      ,7493563.131,310183.3421
90,Code3Med,2011-01-02,10:04:46,2700NWHIGHLAND                                         DRCORVALLIS      ,7478447.9,298885.7729
91,Code3Med,2011-01-02,10:09:44,1100NW9thSTCorvallis,7493207.064,364300.884
92,Code3Med,2011-01-02,10:34:39,0NWCircleBLVDCorvallis,7501676.446,340886.7928
93,Code3Med,2011-01-02,10:34:55,600NWHARRISON                                         BLVDCORVALLIS      ,7502673.421,349571.416
94,Code3Med,2011-01-02,10:38:54,700NW12thSTCorvallis,7485138.377,336086.642
95,Code3Med,2011-01-02,10:39:04,300NECONIFER                                          BLVDCORVALLIS      ,7500102.371,330531.3669
96,Code3Med,2011-01-02,10:52:34,6200NWPonderosaAVECorvallis,7501904.332,392090.0037
97,Code3Med,2011-01-02,11:03:42,0ALSEA DEADWOOD HWY                               RDAlsea,7523979.381,330183.0551
98,Code3Med,2011-01-02,11:47:22,2600NWROLLING GREEN                                    DRCORVALLIS      ,7477395.552,346014.3879
99,Code3Med,2011-01-02,12:09:11,2300NWKINGS                                            BLVDCORVALLIS      ,7491080.795,343256.2063
100,Code3Med,2011-01-02,12:14:57,1400NW20TH                                             STCORVALLIS      ,7494245.544,355098.0732
101,Code3Med,2011-01-02,12:58:45,300NECONIFER                                          BLVDCORVALLIS      ,7503749.152,339121.724
102,Code3Med,2011-01-02,13:01:02,3600NWSAMARITAN                                        DRCORVALLIS      ,7488433.306,333840.6212
103,Code3Med,2011-01-02,13:59:05,400SW26TH                                             STOSU            ,7475935.846,328170.6437
104,Code3Med,2011-01-02,15:19:52,3600NWSAMARITAN                                        DRCORVALLIS      ,7508094.947,320146.8936
105,Code3Med,2011-01-02,15:20:18,300NW26TH                                             STCORVALLIS      ,7500755.16,324879.4282
106,Code3Med,2011-01-02,15:21:12,4700SWBIRDSONG                                         DRCORVALLIS      ,7495933.899,365001.6127
107,Code3Med,2011-01-02,15:34:11,400SWMONROE                                           AVECORVALLIS      ,7486914.35,343801.5283
108,Code3Med,2011-01-02,15:42:46,24400HIGHWAY 99W                                      HWYMonroe,7486060.141,339819.9294
109,Code3Med,2011-01-02,15:45:47,2400SWLEONARD                                          STCORVALLIS      ,7488034.191,325022.7466
110,Code3Med,2011-01-02,16:01:04,600NW13TH                                             STCORVALLIS      ,7506528.341,322773.0593
111,Code3Med,2011-01-02,16:07:37,3600NWSAMARITAN                                        DRCORVALLIS      ,7471824.94,326656.0231
112,Code3Med,2011-01-02,16:22:05,200NECONIFER                                          BLVDCORVALLIS      ,7495928.624,317994.3021
113,Code3Med,2011-01-02,17:49:16,5000SWWEST HILLS                                       RDCORVALLIS      ,7509407.038,337291.7257
114,Code3Med,2011-01-02,17:50:56,800NW9thSTCorvallis,7480579.931,335990.9153
115,Code3Med,2011-01-02,18:00:17,400NWMonroeAVECorvallis,7477771.769,370902.8609
116,Code3Med,2011-01-02,18:07:04,200NECONIFER                                          BLVDCORVALLIS      ,7486581.367,318205.1278
117,Code3Med,2011-01-02,18:20:04,019TH                                             STPHILOMATH      ,7527471.668,332802.6276
118,Code3Med,2011-01-02,18:39:40,1700SW3RD                                              STCORVALLIS      ,7466709.915,306084.3748
119,Code3Med,2011-01-02,19:30:29,0NEHIGHWAY 99W                                      AVEAdair Village,7483559.694,298455.4934
120,Code3Med,2011-01-02,19:36:04,3600NWSAMARITAN                                        DRCORVALLIS      ,7518993.525,339082.3988
121,Code3Med,2011-01-02,19:40:20,26800BellfountainRDBellfount,7531180.999,330092.6656
122,Code3Med,2011-01-02,19:42:01,500SW3rdSTCorvallis,7502849.63,327676.3086
123,Code3Med,2011-01-02,20:30:48,300SW9TH                                              STCORVALLIS      ,7505660.063,363870.7006
124,Code3Med,2011-01-02,20:48:34,200NWMonroeAVECorvallis,7498190.503,331766.4784
125,Code3Med,2011-01-02,20:58:33,100NECONIFER                                          BLVDCORVALLIS      ,7496999.516,373879.9702
126,Code3Med,2011-01-02,21:12:34,1500NWJACKSON                                          AVECORVALLIS      ,7491188.915,320684.3062
127,Code3Med,2011-01-02,21:13:09,2200NWSUNVIEW                                          DRCORVALLIS      ,7503381.873,330779.3536
128,Code3Med,2011-01-02,21:27:46,2900SWCAMPUS                                           WAYOSU            ,7509981.86,321861.765
129,Code3Med,2011-01-02,21:28:57,9100NWARBORETUM                                        RDCORVALLIS      ,7518072.324,317211.4081
130,Code3Med,2011-01-02,22:10:10,2000SECrystal LakeDRCorvallis,7469294.426,340670.0244
131,Code3Med,2011-01-02,22:34:59,1000NWSPRUCE                                           AVECORVALLIS      ,7525946.02,333268.5502
132,Code3Med,2011-01-02,22:35:09,3500NWSamaritanDRCorvallis,7501776.445,363405.2404
133,Code3Med,2011-01-02,22:43:36,24700STOVALL                                          LNPhilomath,7490886.15,305797.074
134,Code3Med,2011-01-02,23:18:04,400SW4thSTCorvallis,7501110.514,339709.9615
135,Code3Med,2011-01-02,23:57:40,1700MCBEE                                            RDPHILOMATH      ,7487764.098,347194.6747
136,Code3Med,2011-01-03,00:01:37,700SW26TH                                             STOSU            ,7480791.848,344356.3709
137,Code3Med,2011-01-03,00:01:41,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7510074.376,357017.1678
138,Code3Med,2011-01-03,00:03:50,300NW23RD                                             STCORVALLIS      ,7492083.554,354768.1872
139,Code3Med,2011-01-03,00:06:34,2700NWHIGHLAND                                         DRCORVALLIS      ,7477539.866,311345.7241
140,Code3Med,2011-01-03,00:26:31,700SW56TH                                             STCORVALLIS      ,7487785.456,327335.0191
141,Code3Med,2011-01-03,00:30:24,800NE2ndSTCorvallis,7470594.944,352776.2353
142,Code3Med,2011-01-03,00:40:12,3100NEPOWDERHORN                                       PLCORVALLIS      ,7477166.178,358801.7077
143,Code3Med,2011-01-03,00:46:49,400NW11TH                                             STCORVALLIS      ,7486318.419,322441.1301
144,Code3Med,2011-01-03,00:47:25,200NECONIFER                                          BLVDCORVALLIS      ,7500692.136,329505.3958
145,Code3Med,2011-01-03,01:57:25,1100NW11TH                                             STCORVALLIS      ,7478140.244,367306.7939
146,Code3Med,2011-01-03,02:42:54,3000NWORCHARD                                          AVECORVALLIS      ,7493179.854,346834.7249
147,Code3Med,2011-01-03,02:46:06,5200SWMEADOW FLOWER                                    DRCORVALLIS      ,7478966.35,310322.3136
148,Code3Med,2011-01-03,03:00:57,26800BELLFOUNTAIN                                     RDBELLFOUNT      ,7495370.245,337063.2009
149,Code3Med,2011-01-03,03:15:42,300SWPLEASANT                                         PLCORVALLIS      ,7489788.406,335554.0678
150,Code3Med,2011-01-03,04:06:47,100NW7TH                                              STCORVALLIS      ,7489335.684,309562.6645
151,Code3Med,2011-01-03,05:00:22,200SWTWIN OAKS                                        CIRCORVALLIS      ,7464649.43,317402.0054
152,Code3Med,2011-01-03,05:14:43,3000NWGARFIELD                                         AVECORVALLIS      ,7493244.666,348314.7323
153,Code3Med,2011-01-03,05:43:58,1000MAIN                                             STPHILOMATH      ,7475963.228,353535.9063
154,Code3Med,2011-01-03,05:50:33,1000NECONIFER                                          BLVDCORVALLIS      ,7508584.22,325857.9831
155,Code3Med,2011-01-03,05:55:39,2200WOODED KNOLLS                                    RDPhilomath,7499889.824,296692.3122
156,Code3Med,2011-01-03,06:16:30,0HIGHWAY 99W                                      HWYMonroe,7473537.061,341887.1445
157,Code3Med,2011-01-03,06:37:59,0NW29TH                                             BLVDCORVALLIS      ,7492850.171,363537.4286
158,Code3Med,2011-01-03,06:57:52,2700NWHIGHLAND                                         DRCORVALLIS      ,7486028.436,344840.699
159,Code3Med,2011-01-03,07:07:05,5000SWROSEBERRY                                        STCORVALLIS      ,7497194.363,323365.9273
160,Code3Med,2011-01-03,07:18:35,800NW23RD                                             STCORVALLIS      ,7493497.691,342295.3489
161,Code3Med,2011-01-03,07:38:57,400NWELKS                                             DRCORVALLIS      ,7488817.336,350408.8012
162,Code3Med,2011-01-03,08:19:15,3600NWSAMARITAN                                        DRCORVALLIS      ,7496933.72,334336.7872
163,Code3Med,2011-01-03,08:35:29,3500NELANCASTER                                        STCORVALLIS      ,7520603.604,397673.3984
164,Code3Med,2011-01-03,09:07:27,0SWPHILOMATH                                        BLVDCORVALLIS      ,7511678.554,348662.3556
165,Code3Med,2011-01-03,09:13:23,0NWKINGS                                            AVECORVALLIS      ,7503776.126,345643.1513
166,Code3Med,2011-01-03,09:51:38,400NWELKS                                             DRCORVALLIS      ,7474498.89,339804.3859
167,Code3Med,2011-01-03,09:57:18,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7493225.596,327632.1316
168,Code3Med,2011-01-03,10:01:53,400SWWEATHERFORD                                      PLOSU            ,7500264.772,340963.807
169,Code3Med,2011-01-03,10:03:19,1700MAIN                                             STPHILOMATH      ,7465608.527,378077.2798
170,Code3Med,2011-01-03,10:06:59,7300CUTLER                                           LNPhilomath,7498891.449,277511.8835
171,Code3Med,2011-01-03,10:37:59,1900NWHIGHLAND                                         DRCORVALLIS      ,7465587.678,320815.8209
172,Code3Med,2011-01-03,11:59:04,400NEPLYMOUTH                                         CIRCORVALLIS      ,7490415.115,292088.0854
173,Code3Med,2011-01-03,12:02:53,7300CUTLER                                           LNPhilomath,7457814.222,336480.6345
174,Code3Med,2011-01-03,12:08:18,4700SWHollyhockCIRCorvallis,7479499.313,324632.8319
175,Code3Med,2011-01-03,12:15:30,800NE2ND                                              STCORVALLIS      ,7506690.268,325157.5703
176,Code3Med,2011-01-03,12:54:39,500NW27TH                                             STCORVALLIS      ,7485240.182,318936.423
177,Code3Med,2011-01-03,13:30:02,39400LUCKIAMUTE                                       RDPhilomath,7478354.342,347719.5738
178,Code3Med,2011-01-03,13:45:22,1900NWESTAVIEW                                         DRCORVALLIS      ,7493165.829,316740.7224
179,Code3Med,2011-01-03,13:55:07,3300NWFIREFERN                                         PLCORVALLIS      ,7465514.668,317003.9201
180,Code3Med,2011-01-03,13:55:09,2700NWHIGHLAND                                         DRCORVALLIS      ,7497214.312,332432.1067
181,Code3Med,2011-01-03,14:32:40,3600NWSamaritanDRCorvallis,7492165.556,328573.4658
182,Code3Med,2011-01-03,15:14:18,0SW15thSTOSU            ,7480747.182,337515.554
183,Code3Med,2011-01-03,15:38:08,3700NWSAMARITAN                                        DRCORVALLIS      ,7477704.142,319593.2664
184,Code3Med,2011-01-03,15:42:33,0NWWalnutAVECorvallis,7496473,371739.8931
185,MVA,2011-01-03,15:55:50,1000NWGarfieldAVECorvallis,7531615.457,339556.3091
186,Code3Med,2011-01-03,16:03:00,800MARILYN                                          DRPHILOMATH      ,7494323.573,375616.4715
187,Code3Med,2011-01-03,16:14:06,4700SWHollyhockCIRCorvallis,7478594.807,319939.003
188,MVA,2011-01-03,16:42:31,1000NWHOBART                                           AVECORVALLIS      ,7514738.236,363020.1309
189,Code3Med,2011-01-03,16:51:02,1300MAIN                                             STPHILOMATH      ,7485841.663,328695.7967
190,Code3Med,2011-01-03,17:18:05,24700STOVALL                                          LNPhilomath,7485739.117,322886.6787
191,Code3Med,2011-01-03,17:45:01,3600NWSAMARITAN                                        DRCORVALLIS      ,7507850.115,336266.0267
192,Code3Med,2011-01-03,17:45:46,34400COLORADO LAKE                                    DRCorvallis,7480656.594,339086.4529
193,Code3Med,2011-01-03,18:17:38,500SEALEXANDER                                        AVECORVALLIS      ,7504817.161,327269.9911
194,Code3Med,2011-01-03,18:33:26,4000NWWALNUT                                           CTCORVALLIS      ,7492504.14,334355.7394
195,Code3Med,2011-01-03,18:33:35,300NW35TH                                             STCORVALLIS      ,7513333.82,345858.6924
196,Code3Med,2011-01-03,18:43:23,700NW5TH                                              STCORVALLIS      ,7490707.924,335335.3531
197,Code3Med,2011-01-03,19:10:19,2700SWWAKE ROBIN                                       PLCORVALLIS      ,7504515.623,388609.5871
198,Code3Med,2011-01-03,19:13:02,600NWLINDEN                                           AVECORVALLIS      ,7498056.021,322391.0396
199,Code3Med,2011-01-03,19:37:26,400SWWEATHERFORD                                      PLOSU            ,7491608.455,335430.7404
200,Code3Med,2011-01-03,19:56:52,600SEHATHAWAY                                         PLCORVALLIS      ,7495494.814,328316.4655
201,Code3Med,2011-01-03,20:30:56,600N 20thPLPhilomath,7458517.924,354762.771
202,Code3Med,2011-01-03,20:31:47,400NWELKS                                             DRCORVALLIS      ,7498745.878,347059.1585
203,Code3Med,2011-01-03,20:42:54,4200NWWitham HillDRCorvallis,7499827.708,382531.2477
204,Code3Med,2011-01-03,20:46:28,2000NWSUNVIEW                                          DRCORVALLIS      ,7498644.961,353045.4599
205,Code3Med,2011-01-03,20:54:40,2700NWFIREWEED                                         PLCORVALLIS      ,7493190.352,319163.2536
206,Code3Med,2011-01-03,21:04:07,700NW2ND                                              STCORVALLIS      ,7501177.709,339705.1125
207,Code3Med,2011-01-03,22:35:04,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7508523.989,312862.5442
208,Code3Med,2011-01-03,23:09:51,1200NWGARFIELD                                         AVECORVALLIS      ,7498571.302,318117.1748
209,Code3Med,2011-01-03,23:55:21,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7469979.793,351246.2713
210,Code3Med,2011-01-04,00:20:06,200NW4TH                                              STCORVALLIS      ,7474870.263,359870.8658
211,Code3Med,2011-01-04,00:28:40,3200SEMIDVALE                                          DRCORVALLIS      ,7492926.051,357319.3506
212,Code3Med,2011-01-04,01:13:04,0NECONIFER                                          BLVDCORVALLIS      ,7498123.69,363201.5019
213,Code3Med,2011-01-04,01:45:36,0NWHwy 99HWYCorvallis,7496218.777,345652.9796
214,Code3Med,2011-01-04,02:15:49,25100KYLE                                             RDMonroe,7492885.449,373142.9583
215,Code3Med,2011-01-04,02:32:24,1500NWJACKSON                                          AVECORVALLIS      ,7500147.921,364922.0504
216,Code3Med,2011-01-04,02:39:03,400NWELKS                                             DRCORVALLIS      ,7477616.398,338695.3285
217,Code3Med,2011-01-04,02:47:14,96600ADAMS                                            LNMonroe,7480987.249,328696.8528
218,Code3Med,2011-01-04,02:51:11,700NW36TH                                             STCORVALLIS      ,7479339.955,354188.9987
219,Code3Med,2011-01-04,02:56:18,1700NWDIVISION                                         STCORVALLIS      ,7478444.679,334101.7382
220,Code3Med,2011-01-04,02:59:39,100Neabeack HillDRPhilomath,7487766.768,320918.1045
221,Transport,2011-01-04,03:01:42,3000NWTAYLOR                                           AVECORVALLIS      ,7482559.258,354335.3391
222,Code3Med,2011-01-04,03:13:47,1600SW3RD                                              STCORVALLIS      ,7483053.684,311083.3481
223,Code3Med,2011-01-04,03:21:43,30900BELLFOUNTAIN                                     RDPhilomath,7487357.968,329540.764
224,MVA,2011-01-04,03:26:53,600NWMONROE                                           AVECORVALLIS      ,7514307.404,358678.0461
225,Code3Med,2011-01-04,03:35:09,5900SWBALSAM                                           DRCORVALLIS      ,7497096.693,338643.4378
226,Code3Med,2011-01-04,03:38:50,3900NEHIGHWAY 20                                       HWYCorvallis,7511336.51,378576.0808
227,Code3Med,2011-01-04,03:40:47,0SE3RD                                              STCORVALLIS      ,7498170.72,383470.331
228,Code3Med,2011-01-04,04:38:27,400SW26TH                                             STOSU            ,7475327.138,359646.6975
229,Code3Med,2011-01-04,04:54:35,1400NW29thSTCorvallis,7482676.063,366553.1395
230,Code3Med,2011-01-04,04:58:22,5200SWPhilomathBLVDCorvallis,7505339.805,373541.5463
231,Code3Med,2011-01-04,05:27:02,1600NWWOODLAND                                         DRCORVALLIS      ,7488587.139,361047.8685
232,Code3Med,2011-01-04,05:39:19,1500NWKingsBLVDCorvallis,7496695.802,320400.9401
233,Code3Med,2011-01-04,05:46:47,29800Hwy 34HWYAlbany,7478489.69,361299.3573
234,Code3Med,2011-01-04,06:18:21,300NW25thSTCorvallis,7482772.609,339944.1866
235,Code3Med,2011-01-04,07:45:47,1500NWDIVISION                                         STCORVALLIS      ,7497014.116,333930.2912
236,Code3Med,2011-01-04,07:52:00,1000NWSPRUCE                                           AVECORVALLIS      ,7473452.139,356122.1742
237,Code3Med,2011-01-04,07:53:52,33100White OakDRCorvallis,7494764.673,341028.151
238,Code3Med,2011-01-04,08:09:50,200NECONIFER                                          BLVDCORVALLIS      ,7489660.779,349860.0648
239,Code3Med,2011-01-04,08:27:46,6100SWCOUNTRY CLUB                                     DRCorvallis,7483478.108,345232.2975
240,Code3Med,2011-01-04,08:54:10,300NW35TH                                             STCORVALLIS      ,7491143.02,331135.1739
241,Code3Med,2011-01-04,08:58:22,200NECONIFER                                          BLVDCORVALLIS      ,7490628.719,322313.5319
242,MVA,2011-01-04,09:11:04,2100APPLEGATE                                        STPHILOMATH      ,7517552.838,351231.9754
243,Code3Med,2011-01-04,09:57:50,400NWHEMLOCK                                          AVECORVALLIS      ,7490988.783,359998.5842
244,Code3Med,2011-01-04,10:02:13,0HIGHWAY 34                                       HWYPhilomath,7490677.884,314498.2319
245,MVA,2011-01-04,10:23:15,300NECONIFER                                          BLVDCORVALLIS      ,7515607.26,367026.4479
246,Code3Med,2011-01-04,10:58:19,100SW53RD                                             STCorvallis,7490845.575,346046.1528
247,Code3Med,2011-01-04,11:24:24,4200SW3RD                                              STCORVALLIS      ,7478010.459,320398.9164
248,Code3Med,2011-01-04,11:44:08,900NEGRANGER                                          AVECorvallis,7463854.167,373145.0057
249,Code3Med,2011-01-04,11:47:45,900NEGRANGER                                          AVECorvallis,7484259.87,342221.5603
250,Code3Med,2011-01-04,11:58:19,100NW3RD                                              STCORVALLIS      ,7503452.755,359170.0176
251,Code3Med,2011-01-04,12:18:44,34400WOLCOTT                                          STCorvallis,7498200.219,369869.4666
252,Code3Med,2011-01-04,12:22:21,1600NWHILLCREST                                        DRCORVALLIS      ,7501761.044,321653.0832
253,Code3Med,2011-01-04,12:30:06,800MAIN                                             STMONROE         ,7502685.48,329113.2236
254,Code3Med,2011-01-04,12:47:48,2800SWCAMPUS                                           WAYOSU            ,7507003.411,339418.9642
255,Code3Med,2011-01-04,12:50:43,3700NWSAMARITAN                                        DRCORVALLIS      ,7492395.09,344641.5987
256,Code3Med,2011-01-04,12:53:31,600SWMadisonAVECorvallis,7487060.705,351177.4058
